011030 1000;574771228
011030 200;361003690
011030 2000;802521285
011030 300;263905653
011030 3000;956219610
011030 3X200;185949744
011030 500;774896125
011040 2;965136861
011040 3;713246429
011040 6;610959757
011050 1000;592375138
011050 200;943133521
011050 300;465935305
011050 3X200;916778030
011050 500;899830293
011070 0-100;957221939
011070 0-150;720077545
011070 0-50;778156576
011070 100-200;493827945
011070 150-300;679282308
011080 0-100;458351062
011080 0-150;672378850
011080 0-300;942335710
011200 1000;698701038
011200 200;555276562
011200 300;532075642
011200 500;726023970
011210 0-150;837901398
011210 100-200;980848709
011210 150-300;788983425
011210 200-300;701015028
011210 25-150;182557204
011210 300-400;280588392
011210 400-500;721089063
011210 500-600;434879693
011210 600-700;607791637
011210 700-800;951032518
011210 800-900;527305564
011210 900-1M;195267965
011220 100-500;679443240
011220 100-900;222149460
011220 50-1000;362943897
011220 50-150;989799091
011220 50-1500;594935214
011220 50-300;806225540
011220 50-500;611157633
011240 100-150;375478741
011240 100-200;967571857
011240 10-20;528681094
011240 12-20;903808555
011240 12-25;373394665
011240 150-200;896715111
011240 20-50;653925159
011240 2-3;471955225
011240 25-50;757706866
011240 2-6;674546364
011240 3,5-6,5;713375010
011240 3-6;737701600
011240 40-100;686039683
011240 50-100;448249890
011240 50-75;743643569
011240 6-10;826268206
011240 6-12;777181565
011240 75-100;142399017
011250 1000;107543827
011250 200;617538782
011250 300;945307583
011250 500;791389112
011290 18-150;926205165
011290 50-230;587467972
011300 600;232417023
011310;375757474
011320;944915727
011330 M3-M12;620192944
011340 M3-M12;798674404
011380 3-12;185651720
011460;698309171
011470;477647757
012050 100;153445424
012050 200;963534578
012050 25;117535536
012050 300;900365142
012050 3X25;244440661
012050 400;715397274
012060 100;152810727
012060 3X100;778395185
012070;228205978
012110 100;767174001
012110 1000;267782953
012110 300;651002150
012110 500;845116810
012240 200;769356955
012240 25;221709644
012380 100;490545050
012380 400;929912611
012430;479705383
012580 MS;133471555
012580 MU;452940973
012600 100;424246689
012600 25;160052753
012700 100;474525127
012700 50;718044749
012700 75;453344817
012710 200;716940376
012710 950;423422653
012720 300;226969729
012750 100;942199488
012750 200;485027846
012750 2000;773397067
012750 600;329912621
012760 100;304208299
012760 300;237618161
012900 100;548292033
012900 20;537919207
012900 200;899983876
012900 300;168217959
012900 50;749440543
012910 200;323237734
012930 60;462052313
013210 10;911231303
013210 100;922854554
013210 12,5;178924412
013210 3;205844013
013210 30;349541074
013210 3X10;486908150
013210 3X12,5;850011652
013210 50;323702952
013220 5;780952365
013250 100;139380189
013250 12,5;520890292
013250 3X12,5;319224635
013450;909223805
013470;212967707
013520 160;768831032
013520 60;884972411
013520 800;840753204
013650;165774788
013650 3X;750812606
013660;892065810
013660 3X;706458969
013820;974658556
013850;977762992
014350 1000;824901033
014350 300;222693279
014360 1000;884333216
014360 400;937637961
014360 800;893206498
014600 1000;919462866
014600 400;406969048
014600 800;901931291
014700;915799321
015020 100;637359469
015020 300;390557101
015020 750;504150855
015030;682479604
015350;487222342
015360;704644497
015500;777169213
015600 750;374984685
016010 1000;706663199
016010 200;945359494
016010 500;688814738
016020 500;717281763
016030 1000;540353611
016030 2000;412090015
016030 3000;601515572
016030 500;813622666
016040 750;333716905
016100 1000;294951495
016100 1000/2;821713256
016100 2000;523022133
016100 2000/2;441785709
016100 3000/2;984954765
016100 500;304747623
016100 500/2;502115825
016140 10;542498560
016140 10/2;574423649
016140 2;598212598
016140 2/2;285806274
016140 3X2;927962930
016140 3X5;193287351
016140 5;943775289
016140 5/2;751581447
016140 50;347743270
016150 1000;861186745
016150 3000;467808621
016150 6000;310457350
016200 0,02;118501758
016200 0,10;264354142
016220 400X400;429443542
016230 0,02;739565903
016230 0,10;499318865
016230 0,40;157344839
016270 400X400;638454509
016400;505857861
016600;237722821
016700 A;546163124
016730 A;937317794
016780 3;574332444
016790 D;318170729
016800;100420313
016820 1;745100713
016830;752102673
016840 1;662909885
016850;451979586
016870 A;439748834
016890 A;640525852
016900;397579066
016920 B;391067335
016930;379433158
017440;543672185
017710 3;430526263
017720 D;561525295
017870;273793970
017910;479960582
018041 10;649348344
018041 103;208328436
018041 32;620440146
018041 47;269873314
018041 8;203908664
018041 87;527213537
018130 5;134081639
018140 100;623217235
018140 150;881255680
018140 200;467062149
018140 400;872829235
018190 100;643454183
018190 150;912079161
018200 100;965246857
018200 150;322577455
018280 60;639731610
018380;381155047
018381 100;674640655
018381 101;924704865
018381 41;897101274
018381 45;524630835
018381 50;563102848
018381 81;457072793
018381 91;768618713
018400 20;434464327
018400 200;687257464
018400 60;906784434
018420 200;108087946
018420 50;214946548
018430 100;576725059
018430 2;323682936
018430 50;595628134
018430 500;995912384
018490;574513479
018530;329248001
018580 100;907476677
018580 300;986818769
018580 60;736520448
018600 20;922260987
018600 200;623845823
018600 3;246193253
018600 60;984966314
018610 100;847456224
018610 20;802463198
018610 200;948176673
018610 3;672006635
018610 60;122384308
018630 100;879164876
018640 60;586755659
018650;224822511
018780;829465628
018800;991749393
018820 1000;750551049
018820 2000;951215541
018820 400;450650035
018821 1000/2;278363162
018821 400/2;255523776
018830 1000;575512010
018831 1000/2;888914857
018840 1000;335970376
018840 1000/2;603702861
018850;446491600
018860 1000;912648040
018860 1000/2;742235953
018860 400/2;940599911
018870;210817864
018890;718007740
018891 1000;286599156
018891 2000;202397497
018891 400;350974026
018920 100;572013710
018920 150;410864376
018920 50;800380798
