011030 1000;34,13;34,13;1;1
011030 200;14,55;13,83;1;10
011030 2000;69,61;66,13;1;115
011030 300;69,15;65,7;1;10
011030 3000;91,08;86,53;1;10
011030 3X200;77,37;73,51;1;10
011030 500;28,94;27,5;1;10
011040 2;20,82;20,82;1;1
011040 3;99,45;99,45;1;1
011040 6;78,46;74,54;1;10
011050 1000;91,22;86,66;1;10
011050 200;7,15;6,8;1;10
011050 300;96,97;92,13;1;10
011050 3X200;41,2;39,14;1;10
011050 500;5,07;4,82;1;10
011070 0-100;47,21;44,85;1;10
011070 0-150;74,58;70,86;1;10
011070 0-50;32,53;30,91;1;10
011070 100-200;5,44;5,17;1;10
011070 150-300;8,66;8,23;1;10
011080 0-100;14,72;13,99;1;10
011080 0-150;61,22;58,16;1;10
011080 0-300;39,62;37,64;1;10
011200 1000;58,36;55,45;1;10
011200 200;87,91;83,52;1;10
011200 300;61,4;58,33;1;10
011200 500;77,95;74,06;1;10
011210 0-150;26,87;25,53;1;10
011210 100-200;14,84;14,1;1;10
011210 150-300;59,17;56,22;1;10
011210 200-300;58,58;55,66;1;10
011210 25-150;24,23;23,02;1;10
011210 300-400;88,31;83,9;1;10
011210 400-500;33,6;31,92;1;10
011210 500-600;20,08;19,08;1;10
011210 600-700;63,38;60,22;1;10
011210 700-800;14,5;13,78;1;10
011210 800-900;70,5;66,98;1;10
011210 900-1M;46,1;43,8;1;10
011220 100-500;71,44;67,87;1;10
011220 100-900;30,13;28,63;1;10
011220 50-1000;78,66;74,73;1;10
011220 50-150;19,89;18,9;1;10
011220 50-1500;15,82;15,03;1;10
011220 50-300;94,91;90,17;1;10
011220 50-500;3,14;2,99;1;10
011240 100-150;58,99;56,05;1;10
011240 100-200;21,74;20,66;1;10
011240 10-20;96,73;91,9;1;10
011240 12-20;89,56;85,09;1;10
011240 12-25;5,55;5,28;1;10
011240 150-200;29,72;28,24;1;10
011240 20-50;63,71;60,53;1;10
011240 2-3;21,49;20,42;1;10
011240 25-50;33,27;31,61;1;10
011240 2-6;77,49;73,62;1;10
011240 3,5-6,5;79,62;75,64;1;10
011240 3-6;16,62;15,79;1;10
011240 40-100;18,79;17,86;1;10
011240 50-100;83,09;78,94;1;10
011240 50-75;48,57;46,15;1;10
011240 6-10;87,8;83,41;1;10
011240 6-12;55,09;52,34;1;10
011240 75-100;25,93;24,64;1;10
011250 1000;41,27;39,21;1;10
011250 200;48,76;46,33;1;10
011250 300;53,56;50,89;1;10
011250 500;36,62;34,79;1;10
011290 18-150;64,23;61,02;1;10
011290 50-230;11,21;10,65;1;10
011300 600;63,92;60,73;1;10
011310;20,36;19,35;1;10
011320;57,79;54,91;1;10
011330 M3-M12;78,93;74,99;1;10
011340 M3-M12;96,81;91,97;1;10
011380 3-12;35,64;33,86;1;10
011460;18,33;17,42;1;10
011470;94,97;90,23;1;10
012050 100;87,55;83,18;1;10
012050 200;57,41;54,54;1;10
012050 25;21,99;20,9;1;10
012050 300;89,81;85,32;1;10
012050 3X25;19,72;18,74;1;10
012050 400;18,55;17,63;1;10
012060 100;7,48;7,11;1;10
012060 3X100;26,13;24,83;1;10
012070;88,54;84,12;1;10
012110 100;84,68;80,45;1;10
012110 1000;68,09;64,69;1;10
012110 300;62,36;59,25;1;10
012110 500;37,56;35,69;1;10
012240 200;42,71;40,58;1;10
012240 25;73,15;69,5;1;10
012380 100;47,81;45,42;1;10
012380 400;6,17;5,87;1;10
012430;30,51;28,99;1;10
012580 MS;49,46;46,99;1;10
012580 MU;38,63;36,7;1;10
012600 100;45,13;42,88;1;10
012600 25;55,39;52,63;1;10
012700 100;59,86;56,87;1;10
012700 50;57,24;54,38;1;10
012700 75;57,68;54,8;1;10
012710 200;30,6;29,07;1;10
012710 950;29,52;28,05;1;10
012720 300;28,5;27,08;1;10
012750 100;29,76;28,28;1;10
012750 200;55,32;52,56;1;10
012750 2000;29,76;28,28;1;10
012750 600;58,58;55,66;1;10
012760 100;68,34;64,93;1;10
012760 300;12,71;12,08;1;10
012900 100;49,56;47,09;1;10
012900 20;57,41;54,54;1;10
012900 200;36,37;34,56;1;10
012900 300;83,7;79,52;1;10
012900 50;97,88;92,99;1;10
012910 200;8,44;8,02;1;10
012930 60;34,74;33,01;1;10
013210 10;80,79;76,76;1;10
013210 100;89,26;84,8;1;10
013210 12,5;73,42;69,75;1;10
013210 3;80,75;76,72;1;10
013210 30;68,26;64,85;1;10
013210 3X10;96,12;91,32;1;10
013210 3X12,5;54,64;51,91;1;10
013210 50;31,38;29,82;1;10
013220 5;35,58;33,81;1;10
013250 100;68,2;64,79;1;10
013250 12,5;54,32;51,61;1;10
013250 3X12,5;95,31;90,55;1;10
013450;66,78;63,45;1;10
013470;52,83;50,19;1;10
013520 160;85,76;81,48;1;10
013520 60;5,51;5,24;1;10
013520 800;55,22;52,46;1;10
013650;38,54;36,62;1;10
013650 3X;44,7;42,47;1;10
013660;90,31;85,8;1;10
013660 3X;75,07;71,32;1;10
013820;57,97;55,08;1;10
013850;98,72;93,79;1;10
014350 1000;81,67;77,59;1;10
014350 300;55,22;52,46;1;10
014360 1000;95,94;91,15;1;10
014360 400;69,61;66,13;1;10
014360 800;28,84;27,4;1;10
014600 1000;97,15;92,3;1;10
014600 400;90,86;86,32;1;10
014600 800;16,49;15,67;1;10
014700;81,03;76,98;1;10
015020 100;49,88;47,39;1;10
015020 300;51,89;49,3;1;10
015020 750;44,97;42,73;1;10
015030;80,65;76,62;1;10
015350;73,88;70,19;1;10
015360;10,69;10,16;1;10
015500;53,34;50,68;1;10
015600 750;75,84;72,05;1;10
016010 1000;69,18;65,73;1;10
016010 200;1,35;1,29;1;10
016010 500;82,51;78,39;1;10
016020 500;58,66;55,73;1;10
016030 1000;70,49;66,97;1;10
016030 2000;25,82;24,53;1;10
016030 3000;3,92;3,73;1;10
016030 500;7,66;7,28;1;10
016040 750;40,36;38,35;1;10
016100 1000;83,16;79,01;1;10
